,NOMBRE,LOCALIDAD,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD
156,Residencia de Estudiantes,MADRID,28006,EL VISO,CHAMARTIN,40.44065779577869,-3.688052640606045
157,Restos del Antiguo Palacio del Buen Retiro,MADRID,28014,LOS JERONIMOS,RETIRO,40.41534345623286,-3.692451639713872
158,Salón del Prado,MADRID,28014,JERÓNIMOS,RETIRO,40.41482596602272,-3.693141504307064
159,Teatro Barceló,MADRID,28004,JUSTICIA,CENTRO,40.42691245380727,-3.69979134642512
160,Teatro María Guerrero,MADRID,28004,JUSTICIA,CENTRO,40.42285471960314,-3.692858480631031
161,Teatro Real,MADRID,28013,PALACIO,CENTRO,40.41776291784375,-3.70918800795985
162,Teatro Valle-Inclán,MADRID,28012,EMBAJADORES,CENTRO,40.40801184585344,-3.700475207314223
163,Templo de Debod,MADRID,28008,CASA DE CAMPO,MONCLOA-ARAVACA,40.424301175943256,-3.716268808325109
164,Terminal T4,MADRID,0,,DISTRITO,40.49244999472662,-3.591837062218565
165,Torre Castelar,MADRID,28046,CASTELLANA,SALAMANCA,40.435197111159646,-3.688015719288949
166,Torre de Madrid,MADRID,28008,ARGUELLES,MONCLOA-ARAVACA,40.42418961131494,-3.712366421203481
167,Torres Blancas,MADRID,28002,PROSPERIDAD,CHAMARTIN,40.43965048520964,-3.6718342742664696
168,Tribunal Superior de Justicia,MADRID,28004,JUSTICIA,CENTRO,40.424691322944106,-3.694224975092802
169,Viaducto,MADRID,28013,PALACIO,CENTRO,40.41458749364033,-3.713713125691665
170,Viviendas para Alejandro Santamaría,MADRID,0,UNIVERSIDAD,CENTRO,40.42151409771597,-3.707449796680296
171,Viviendas para el Conde Artaza,MADRID,28013,CORTES,CENTRO,40.41940962687557,-3.69944766764916
172,Viviendas para el conde de Godó,MADRID,0,UNIVERSIDAD,CENTRO,40.42056229267926,-3.705459505540731
173,Viviendas para el Marqués de Cubas y Fontalba,MADRID,0,UNIVERSIDAD,CENTRO,40.42044310282671,-3.7028414131115097
